source_event_index,split,target_class,physical_muon_count,active_hits,active_hit_fraction,total_tot,mean_tot_active,max_tot_active,time_span,z_span,z_mean,radius_mean,radius_std,hit_dir_z_mean,hit_dir_z_std,primary_energy_mc,secondary_energy_mc,total_energy_mc,primary_dir_x_mc,primary_dir_y_mc,primary_dir_z_mc,secondary_dir_x_mc,secondary_dir_y_mc,secondary_dir_z_mc,secondary_direction_present_mc,primary_off_vertical_deg_mc,secondary_off_vertical_deg_mc,rec_dir_x_0,rec_dir_y_0,rec_dir_z_0,rec_dir_x_1,rec_dir_y_1,rec_dir_z_1
0,val,2,3,54,0.10546875,1361.0,25.203703703703702,33.0,1944.0,153.748,93.04798719618056,739.1101707175926,2152.5368659089645,-0.19096597035725912,0.7675252960917478,8347.003438460719,5145.591829772076,13492.595268232795,-0.5397416434257823,-0.16292327740204357,-0.8259146227259888,-0.5397416434257823,-0.16292327740204357,-0.8259146227259888,True,34.31867012986913,34.31867012986913,-0.5397416434257823,-0.16292327740204357,-0.8259146227259888,-0.5397416434257823,-0.16292327740204357,-0.8259146227259888
1,train,2,3,165,0.322265625,4223.0,25.593939393939394,47.0,2160.0,163.16699,77.71946614583334,729.1920454545455,1057.510264249575,-0.17785285024931938,0.6186456959461349,4816.990730872956,482.61516748180577,5299.605898354762,0.25768522760211093,-0.3445839073606242,-0.9026961029403711,0.25768522760211093,-0.3445839073606242,-0.9026961029403711,True,25.485247414326317,25.485247414326317,0.25768522760211093,-0.3445839073606242,-0.9026961029403711,0.25768522760211093,-0.3445839073606242,-0.9026961029403711
2,train,0,1,131,0.255859375,3700.0,28.244274809160306,96.0,2184.0,163.09799,79.47408009303435,729.4372614503817,1244.0219019394115,-0.11738536194080615,0.5900244000196289,441.16853095481184,441.16853095481184,882.3370619096237,-0.04707160068285475,0.3511231052080241,-0.9351453520165882,0.0,0.0,0.0,False,20.74835972511211,,-0.04707160068285475,0.3511231052080241,-0.9351453520165882,-0.04707160068285475,0.3511231052080241,-0.9351453520165882
3,val,1,2,62,0.12109375,1563.0,25.20967741935484,40.0,2072.0,163.233,98.13338741179436,732.491683467742,1973.4189749967763,0.05349133860680365,0.5670013062390784,296.6334966901723,21.10652948868269,317.740026178855,-0.27870046212178273,-0.3249786724772529,-0.9037228086354948,-0.27870046212178273,-0.3249786724772529,-0.9037228086354948,True,25.348187541821982,25.348187541821982,-0.27870046212178273,-0.3249786724772529,-0.9037228086354948,-0.27870046212178273,-0.3249786724772529,-0.9037228086354948
4,train,0,1,57,0.111328125,1325.0,23.24561403508772,37.0,2140.0,163.321,97.98847827576755,738.7261513157895,2087.180290607347,-0.15776727910627397,0.697974250054989,456.5949174175766,456.5949174175766,913.1898348351532,-0.7141734036041278,0.10188113379935332,-0.6925146815485241,0.0,0.0,0.0,False,46.170501174638055,,-0.7141734036041278,0.10188113379935332,-0.6925146815485241,-0.7141734036041278,0.10188113379935332,-0.6925146815485241
5,train,2,3,95,0.185546875,2359.0,24.83157894736842,58.0,1845.5,162.569,143.9794613486842,737.1391447368421,1544.44237745124,-0.13031029952199835,0.6068189136122277,4079.7938923081533,91.35971860622082,4171.153610914374,-0.1798715241927911,-0.32275735108548753,-0.9292329778397027,-0.1798715241927911,-0.32275735108548753,-0.9292329778397027,True,21.684435774805046,21.684435774805046,-0.1798715241927911,-0.32275735108548753,-0.9292329778397027,-0.1798715241927911,-0.32275735108548753,-0.9292329778397027
6,train,0,1,93,0.181640625,2385.0,25.64516129032258,64.0,1856.0,163.48999,73.8948252688172,743.3996975806451,1577.9706081255797,0.022579216188000094,0.524812579577436,335.2398698400182,335.2398698400182,670.4797396800363,0.029741747841105375,-0.06520723033458621,-0.9974284162522383,0.0,0.0,0.0,False,4.109898335300363,,0.029741747841105375,-0.06520723033458621,-0.9974284162522383,0.029741747841105375,-0.06520723033458621,-0.9974284162522383
7,train,1,2,75,0.146484375,1974.0,26.32,46.0,2048.0,163.53,130.05536458333333,730.4723958333333,1763.2730795636503,-0.010553474426269532,0.5374288113501768,304.32205075830575,264.63956810124233,568.961618859548,-0.5213761213435959,-0.07140863113317798,-0.8503339035298979,-0.5213761213435959,-0.07140863113317798,-0.8503339035298979,True,31.751994841033603,31.751994841033603,-0.5213761213435959,-0.07140863113317798,-0.8503339035298979,-0.5213761213435959,-0.07140863113317798,-0.8503339035298979
8,test,2,3,65,0.126953125,1539.0,23.676923076923078,33.0,2096.0,163.108,98.0600811298077,740.4268028846154,1941.7283993720414,-0.05932783346909743,0.5541274601894324,1879.3079680886267,790.3663285831072,2669.674296671734,0.750054235288669,-0.22688013666418602,-0.6212439518520645,0.750054235288669,-0.22688013666418602,-0.6212439518520645,True,51.5929685602896,51.5929685602896,0.750054235288669,-0.22688013666418602,-0.6212439518520645,0.750054235288669,-0.22688013666418602,-0.6212439518520645
9,train,0,1,99,0.193359375,2384.0,24.08080808080808,45.0,1906.0,153.334,120.39425505050505,731.5564236111111,1494.2295861677671,-0.003997861134885538,0.5163142001888403,4855.4695680579325,4855.4695680579325,9710.939136115865,-0.4608326411502021,-0.33826808574966793,-0.82049252221686,0.0,0.0,0.0,False,34.865872453665375,,-0.4608326411502021,-0.33826808574966793,-0.82049252221686,-0.4608326411502021,-0.33826808574966793,-0.82049252221686
