category,category_label,source_event_index,target_class,active_hits,total_tot,time_span,z_span,total_energy_mc,primary_energy_mc,secondary_energy_mc,primary_off_vertical_deg_mc,exp008_predicted_class,exp008_confidence,exp009_predicted_class,exp009_confidence
downward,True 2-muon predicted as 1 muon,17327,1,26,733.0,1366.0,134.28499,415.69922478506044,267.8192413512932,147.8799834337672,7.630511505994976,0,0.6666058301925659,0,0.5925978422164917
middle,True 2-muon predicted as 2 muons,6457,1,64,1564.0,2096.0,153.475,1127.9081704495106,699.7978755716092,428.1102948779014,53.29859869205394,1,0.41972285509109497,1,0.39614903926849365
upward,True 2-muon predicted as 3 muons,4723,1,248,6867.0,2600.0,163.48901,9925.456528456394,5153.634888804676,4771.821639651719,23.57486873283052,2,0.6881508231163025,2,0.8983357548713684
